,mutation,mutation_group
0,m0,0
1,m1,0
2,m2,0
3,m3,0
4,m4,0
5,m5,1
6,m6,0
7,m7,0
8,m8,0
9,m9,0
10,m10,0
11,m11,0
12,m12,1
13,m13,0
14,m14,0
15,m15,0
16,m16,0
17,m17,0
18,m18,0
19,m19,0
20,m20,0
21,m21,0
22,m22,0
23,m23,0
24,m24,0
25,m25,2
26,m26,0
27,m27,0
28,m28,0
29,m29,0
30,m30,0
31,m31,0
32,m32,0
33,m33,0
34,m34,0
35,m35,0
36,m36,0
37,m37,0
38,m38,0
39,m39,3
40,m40,0
41,m41,0
42,m42,0
43,m43,0
44,m44,0
45,m45,0
46,m46,1
47,m47,0
48,m48,0
49,m49,0
50,m50,0
51,m51,0
52,m52,0
53,m53,0
54,m54,0
55,m55,0
56,m56,0
57,m57,1
58,m58,0
59,m59,0
60,m60,0
61,m61,0
62,m62,0
