,ncells,n_mutation_groups,mutation_group_size,coverage,n_clusters,seed,accuracy,error
0,1000,5,100,0.02,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p5_s0/solution_0/B.csv'
1,1000,5,100,0.02,5,4,0.47709195268341004,
2,1000,5,100,0.02,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p5_s2/solution_0/B.csv'
3,1000,5,100,0.02,5,4,0.6568683855925147,
4,1000,5,100,0.02,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p5_s4/solution_0/B.csv'
5,1000,5,100,0.02,10,4,0.5516622608147617,
6,1000,5,100,0.02,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p10_s1/solution_0/B.csv'
7,1000,5,100,0.02,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p10_s2/solution_0/B.csv'
8,1000,5,100,0.02,10,4,0.5778892454247172,
9,1000,5,100,0.02,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p10_s4/solution_0/B.csv'
10,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p15_s0/solution_0/B.csv'
11,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p15_s1/solution_0/B.csv'
12,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p15_s2/solution_0/B.csv'
13,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p15_s3/solution_0/B.csv'
14,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.02_p15_s4/solution_0/B.csv'
15,1000,5,100,0.05,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p5_s0/solution_0/B.csv'
16,1000,5,100,0.05,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p5_s1/solution_0/B.csv'
17,1000,5,100,0.05,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p5_s2/solution_0/B.csv'
18,1000,5,100,0.05,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p5_s3/solution_0/B.csv'
19,1000,5,100,0.05,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p5_s4/solution_0/B.csv'
20,1000,5,100,0.05,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p10_s0/solution_0/B.csv'
21,1000,5,100,0.05,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p10_s1/solution_0/B.csv'
22,1000,5,100,0.05,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p10_s2/solution_0/B.csv'
23,1000,5,100,0.05,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p10_s3/solution_0/B.csv'
24,1000,5,100,0.05,10,4,0.7654861111111111,
25,1000,5,100,0.05,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p15_s0/solution_0/B.csv'
26,1000,5,100,0.05,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p15_s1/solution_0/B.csv'
27,1000,5,100,0.05,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p15_s2/solution_0/B.csv'
28,1000,5,100,0.05,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p15_s3/solution_0/B.csv'
29,1000,5,100,0.05,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.05_p15_s4/solution_0/B.csv'
30,1000,5,100,0.1,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p5_s0/solution_0/B.csv'
31,1000,5,100,0.1,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p5_s1/solution_0/B.csv'
32,1000,5,100,0.1,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p5_s2/solution_0/B.csv'
33,1000,5,100,0.1,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p5_s3/solution_0/B.csv'
34,1000,5,100,0.1,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p5_s4/solution_0/B.csv'
35,1000,5,100,0.1,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p10_s0/solution_0/B.csv'
36,1000,5,100,0.1,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p10_s1/solution_0/B.csv'
37,1000,5,100,0.1,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans/n1000_m5_size100_cov0.1_p10_s2/solution_0/B.csv'
