,ncells,n_mutation_groups,mutation_group_size,coverage,n_clusters,seed,accuracy,error
0,1000,5,100,0.02,5,4,1.0,
1,1000,5,100,0.02,5,4,0.5205261931122895,
2,1000,5,100,0.02,5,4,0.923095703125,
3,1000,5,100,0.02,5,4,0.9243061969144121,
4,1000,5,100,0.02,5,4,1.0,
5,1000,5,100,0.02,10,4,0.917779800773796,
6,1000,5,100,0.02,10,4,0.9260776090478281,
7,1000,5,100,0.02,10,4,1.0,
8,1000,5,100,0.02,10,4,1.0,
9,1000,5,100,0.02,10,4,1.0,
10,1000,5,100,0.02,15,4,1.0,
11,1000,5,100,0.02,15,4,1.0,
12,1000,5,100,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p15_s2/solution_0/B.csv'
13,1000,5,100,0.02,15,4,1.0,
14,1000,5,100,0.02,15,4,1.0,
15,1000,5,100,0.05,5,4,0.8314801831348432,
16,1000,5,100,0.05,5,4,0.7369180117708758,
17,1000,5,100,0.05,5,4,0.923095703125,
18,1000,5,100,0.05,5,4,0.9243061969144121,
19,1000,5,100,0.05,5,4,1.0,
20,1000,5,100,0.05,10,4,1.0,
21,1000,5,100,0.05,10,4,0.9260776090478281,
22,1000,5,100,0.05,10,4,1.0,
23,1000,5,100,0.05,10,4,1.0,
24,1000,5,100,0.05,10,4,1.0,
25,1000,5,100,0.05,15,4,1.0,
26,1000,5,100,0.05,15,4,1.0,
27,1000,5,100,0.05,15,4,1.0,
28,1000,5,100,0.05,15,4,1.0,
29,1000,5,100,0.05,15,4,1.0,
30,1000,5,100,0.1,5,4,1.0,
31,1000,5,100,0.1,5,4,0.7419148068294389,
32,1000,5,100,0.1,5,4,1.0,
33,1000,5,100,0.1,5,4,0.9243061969144121,
34,1000,5,100,0.1,5,4,1.0,
35,1000,5,100,0.1,10,4,1.0,
36,1000,5,100,0.1,10,4,0.9260776090478281,
37,1000,5,100,0.1,10,4,1.0,
38,1000,5,100,0.1,10,4,1.0,
39,1000,5,100,0.1,10,4,1.0,
40,1000,5,100,0.1,15,4,1.0,
41,1000,5,100,0.1,15,4,1.0,
42,1000,5,100,0.1,15,4,1.0,
43,1000,5,100,0.1,15,4,1.0,
44,1000,5,100,0.1,15,4,1.0,
45,1000,5,500,0.02,5,4,0.9184438458176799,
46,1000,5,500,0.02,5,4,0.5201752444269132,
47,1000,5,500,0.02,5,4,1.0,
48,1000,5,500,0.02,5,4,1.0,
49,1000,5,500,0.02,5,4,1.0,
50,1000,5,500,0.02,10,4,0.8395391519349955,
51,1000,5,500,0.02,10,4,1.0,
52,1000,5,500,0.02,10,4,1.0,
53,1000,5,500,0.02,10,4,1.0,
54,1000,5,500,0.02,10,4,1.0,
55,1000,5,500,0.02,15,4,1.0,
56,1000,5,500,0.02,15,4,1.0,
57,1000,5,500,0.02,15,4,1.0,
58,1000,5,500,0.02,15,4,1.0,
59,1000,5,500,0.02,15,4,1.0,
60,1000,5,500,0.05,5,4,0.9184438458176799,
61,1000,5,500,0.05,5,4,0.8376752540010187,
62,1000,5,500,0.05,5,4,0.921143731006764,
63,1000,5,500,0.05,5,4,1.0,
64,1000,5,500,0.05,5,4,1.0,
65,1000,5,500,0.05,10,4,1.0,
66,1000,5,500,0.05,10,4,1.0,
67,1000,5,500,0.05,10,4,1.0,
68,1000,5,500,0.05,10,4,1.0,
69,1000,5,500,0.05,10,4,1.0,
70,1000,5,500,0.05,15,4,0.9202848094157813,
71,1000,5,500,0.05,15,4,1.0,
72,1000,5,500,0.05,15,4,1.0,
73,1000,5,500,0.05,15,4,1.0,
74,1000,5,500,0.05,15,4,1.0,
75,1000,5,500,0.1,5,4,1.0,
76,1000,5,500,0.1,5,4,0.7522509487938542,
77,1000,5,500,0.1,5,4,1.0,
78,1000,5,500,0.1,5,4,0.9220121465775202,
79,1000,5,500,0.1,5,4,1.0,
80,1000,5,500,0.1,10,4,1.0,
81,1000,5,500,0.1,10,4,1.0,
82,1000,5,500,0.1,10,4,1.0,
83,1000,5,500,0.1,10,4,1.0,
84,1000,5,500,0.1,10,4,1.0,
85,1000,5,500,0.1,15,4,1.0,
86,1000,5,500,0.1,15,4,1.0,
87,1000,5,500,0.1,15,4,1.0,
88,1000,5,500,0.1,15,4,0.9170658631472821,
89,1000,5,500,0.1,15,4,1.0,
90,1000,5,1000,0.02,5,4,0.9155887938110397,
91,1000,5,1000,0.02,5,4,0.5202760436945505,
92,1000,5,1000,0.02,5,4,1.0,
93,1000,5,1000,0.02,5,4,1.0,
94,1000,5,1000,0.02,5,4,0.8380960852877087,
95,1000,5,1000,0.02,10,4,0.8371230313706562,
96,1000,5,1000,0.02,10,4,1.0,
97,1000,5,1000,0.02,10,4,1.0,
98,1000,5,1000,0.02,10,4,1.0,
99,1000,5,1000,0.02,10,4,1.0,
100,1000,5,1000,0.02,15,4,1.0,
101,1000,5,1000,0.02,15,4,1.0,
102,1000,5,1000,0.02,15,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size1000_cov0.02_p15_s2/solution_0/B.csv'
103,1000,5,1000,0.02,15,4,0.9178917682045128,
104,1000,5,1000,0.02,15,4,1.0,
105,1000,5,1000,0.05,5,4,0.9155887938110397,
106,1000,5,1000,0.05,5,4,0.7545419940001031,
107,1000,5,1000,0.05,5,4,1.0,
108,1000,5,1000,0.05,5,4,1.0,
109,1000,5,1000,0.05,5,4,1.0,
110,1000,5,1000,0.05,10,4,1.0,
111,1000,5,1000,0.05,10,4,0.9219508700690862,
112,1000,5,1000,0.05,10,4,1.0,
113,1000,5,1000,0.05,10,4,1.0,
114,1000,5,1000,0.05,10,4,1.0,
115,1000,5,1000,0.05,15,4,1.0,
116,1000,5,1000,0.05,15,4,1.0,
117,1000,5,1000,0.05,15,4,1.0,
118,1000,5,1000,0.05,15,4,0.9178917682045128,
119,1000,5,1000,0.05,15,4,1.0,
120,1000,5,1000,0.1,5,4,1.0,
121,1000,5,1000,0.1,5,4,0.7545419940001031,
122,1000,5,1000,0.1,5,4,1.0,
123,1000,5,1000,0.1,5,4,1.0,
124,1000,5,1000,0.1,5,4,1.0,
125,1000,5,1000,0.1,10,4,0.9198287281708932,
126,1000,5,1000,0.1,10,4,1.0,
127,1000,5,1000,0.1,10,4,1.0,
128,1000,5,1000,0.1,10,4,1.0,
129,1000,5,1000,0.1,10,4,1.0,
130,1000,5,1000,0.1,15,4,1.0,
131,1000,5,1000,0.1,15,4,1.0,
132,1000,5,1000,0.1,15,4,1.0,
133,1000,5,1000,0.1,15,4,0.9178917682045128,
134,1000,5,1000,0.1,15,4,1.0,
135,1000,10,100,0.02,5,4,0.8686332423451573,
136,1000,10,100,0.02,5,4,0.8734860173132177,
137,1000,10,100,0.02,5,4,0.8430467794975982,
138,1000,10,100,0.02,5,4,0.9428846534841491,
139,1000,10,100,0.02,5,4,0.8573852124344589,
140,1000,10,100,0.02,10,4,0.9254857016667672,
141,1000,10,100,0.02,10,4,0.943322,
