,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,cluster_id
s0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s3,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s4,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s5,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s6,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s7,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s10,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s11,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s12,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s13,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s14,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s15,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s16,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s17,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s18,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s19,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s20,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s22,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s23,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s24,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s25,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s26,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s27,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s29,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s30,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s31,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s32,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s33,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s34,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s35,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s36,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s37,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s38,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s39,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s40,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s42,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s43,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s44,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s45,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s46,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s48,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s49,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s50,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s51,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s52,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s53,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s54,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s55,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s56,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s57,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s58,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s59,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s60,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
