,bin
0,5077
1,1986
2,4878
3,1287
4,1435
5,2243
6,3353
7,5747
8,1392
9,4574
10,13
11,5532
12,2784
13,358
14,2022
15,555
16,2098
17,5237
18,5969
19,5139
20,5067
21,2730
22,914
23,5119
24,1704
25,4762
26,4202
27,5725
28,1582
29,1888
30,930
31,4303
32,741
33,993
34,2219
35,3065
36,4032
37,1986
38,2115
39,1594
40,1249
41,3585
42,2709
43,396
44,3561
45,1072
46,4824
47,1530
48,5427
49,377
50,4774
51,3515
52,1019
53,27
54,5292
55,2306
56,5534
57,3456
58,5891
59,1254
60,5666
61,288
62,5257
63,2234
64,2889
65,508
66,382
67,3952
68,425
69,5741
70,4014
71,1621
72,4819
73,5714
74,4503
75,266
76,4737
77,1487
78,1370
79,390
80,5680
81,4193
82,1826
83,2886
84,3337
85,693
86,1987
87,263
88,2121
89,5050
90,2057
91,1834
92,958
93,2904
94,688
95,4780
96,1175
97,1811
98,3733
99,4916
100,5151
101,346
102,5555
103,4526
104,525
105,2625
106,2952
107,2596
108,1842
109,4141
110,3203
111,94
112,826
113,3347
114,896
115,2953
116,5422
117,4859
118,699
119,4584
120,5531
121,900
122,821
123,5949
124,4696
125,2802
126,5908
127,1503
128,4792
129,598
130,2382
131,988
132,2011
133,342
134,5461
135,573
136,2151
137,2523
138,4171
139,264
140,2838
141,1622
142,4341
143,1620
144,3384
145,3838
146,752
147,36
148,3561
149,297
150,4389
151,5134
152,5023
153,3431
154,3023
155,3007
156,1050
157,1324
158,3261
159,3897
160,4514
161,1017
162,3091
163,1568
164,2843
165,1227
166,4801
167,1358
168,4434
169,2385
170,823
171,1690
172,3689
173,433
174,1700
175,5373
176,321
177,4923
178,3303
179,2496
180,156
181,3462
182,635
183,3670
184,5264
185,1457
186,3714
187,247
188,4404
189,1856
190,3451
191,4044
192,1641
193,3039
194,621
195,1196
196,4262
197,3395
198,980
199,464
200,3285
201,324
202,2138
203,5866
204,2305
205,498
206,4423
207,1490
208,333
209,138
210,529
211,1345
212,4628
213,3302
214,5314
215,5489
216,1236
217,3605
218,2484
219,4995
220,763
221,3475
222,5617
223,4644
224,5686
225,4180
226,4835
227,1598
228,2828
229,4438
230,4662
231,4653
232,5978
233,2514
234,2673
235,3094
236,5683
237,700
238,3270
239,3227
240,1622
241,5282
242,3328
243,5504
244,3616
245,4054
246,5673
247,5002
248,2957
249,1926
250,914
251,3378
252,3599
253,4800
254,5366
255,3455
256,4438
257,4624
258,2756
259,3871
260,2419
261,3476
262,2869
263,5515
264,4601
265,1971
266,1094
267,454
268,2012
269,2125
270,3306
271,5915
272,4915
273,2562
274,1280
275,3616
276,5716
277,615
278,1938
279,3609
280,5827
281,2711
282,4556
283,302
284,5075
285,902
286,3683
287,4425
288,350
289,5904
290,2100
291,4270
292,437
293,3511
294,4960
295,918
296,1764
297,520
298,5041
299,5741
300,2285
301,2216
302,3684
303,3647
304,1978
305,5726
306,5592
307,5175
308,3175
309,2009
310,3911
311,1579
312,4670
313,5664
314,3089
315,5651
316,184
317,3177
318,2273
319,2454
320,3272
321,179
322,4416
323,5744
324,2290
325,1413
326,4799
327,4404
328,2539
329,2420
330,477
331,1893
332,3428
333,4603
334,646
335,5876
336,1947
337,3297
338,3212
339,4666
340,1769
341,2418
342,754
343,5079
344,3730
345,2553
346,2978
347,590
348,5105
349,2505
350,3830
351,898
352,428
353,5225
354,2263
355,5081
356,3650
357,4908
358,106
359,5396
360,3606
361,2606
362,2849
363,5173
364,2028
365,5214
366,4944
367,1731
368,1869
369,838
370,1327
371,952
372,2963
373,2730
374,1994
375,2266
376,5454
377,5174
378,850
379,2930
380,4142
381,2307
382,4116
383,1130
384,5700
385,2577
386,1905
387,1179
388,2463
389,2895
390,5170
391,4058
392,2728
393,3347
394,1271
395,3977
396,3790
397,1058
398,5533
399,5590
400,4577
401,3932
402,2006
403,203
404,2659
405,3107
406,4397
407,2993
408,1262
409,2070
410,4432
411,4334
412,4032
413,3253
414,3306
415,5351
416,300
417,5988
418,1622
419,1301
420,5102
421,4024
422,3922
423,4587
424,555
425,1319
426,2153
427,626
428,5301
429,4173
430,5509
431,1889
432,1297
433,2062
434,2557
435,4682
436,1319
437,5707
438,4387
439,3720
440,2044
441,2157
442,5707
443,3389
444,2295
445,2552
446,1552
447,5921
448,212
449,4060
450,3480
451,3545
452,2291
453,135
454,4562
455,570
456,4643
457,2718
458,5100
459,245
460,4022
461,3341
462,1123
463,4915
464,5366
465,4099
466,1611
467,3501
468,1035
469,5194
470,4164
471,1571
472,358
473,1830
474,260
475,2446
476,529
477,4573
478,3124
479,3646
480,2205
481,2960
482,4416
483,4478
484,5870
485,193
486,4700
487,2740
488,3694
489,3846
490,4556
491,2658
492,4457
493,3818
494,5326
495,1220
496,4441
497,5881
498,1279
499,4022
500,4800
501,4932
502,801
503,1276
504,4686
505,909
506,183
507,1474
508,167
509,3329
510,518
511,1731
512,5228
513,358
514,5552
515,5769
516,2506
517,5564
518,3569
519,2606
520,4193
521,2628
522,3907
523,2392
524,1817
525,2746
526,1285
527,2814
528,5621
529,891
530,3768
531,385
532,5173
533,381
534,5864
535,2112
536,2211
537,2825
538,3828
539,1029
540,829
541,4749
542,1384
543,3742
544,4078
545,4088
546,4617
547,1097
548,2891
549,1884
550,5401
551,5550
552,3832
553,653
554,4659
