cell,cluster
42,1
940,1
399,1
914,1
47,1
655,1
987,1
1143,1
828,1
692,1
85,1
140,1
578,1
1062,1
293,1
1082,1
1058,1
134,1
146,1
1155,1
556,1
379,1
575,1
240,1
482,1
533,1
836,1
1118,1
233,1
661,1
341,1
821,1
758,1
920,1
1237,1
765,1
450,1
182,1
998,1
178,1
778,1
366,1
584,1
303,1
49,1
768,1
333,1
1079,1
1225,1
141,1
784,1
732,1
1066,2
773,2
882,2
301,2
101,2
21,2
310,2
1020,2
745,2
1140,2
926,2
947,2
699,2
52,2
510,2
861,2
350,2
816,2
217,2
118,2
664,2
1220,2
843,2
592,2
461,2
391,2
837,2
591,2
389,2
878,2
715,2
1182,2
553,2
808,2
674,2
3,2
173,2
183,2
958,2
880,2
532,2
870,2
513,2
230,2
935,2
840,2
734,2
458,2
306,2
459,2
400,2
976,2
229,2
485,3
133,3
535,3
407,3
1054,3
774,3
762,3
120,3
531,3
1037,3
869,3
632,3
554,3
648,3
944,3
731,3
79,3
268,3
617,3
629,3
678,3
179,3
195,3
227,3
254,3
63,3
871,3
32,3
864,3
88,3
355,3
392,3
728,3
613,3
557,3
937,3
1147,3
378,3
508,3
184,3
142,3
143,3
1202,3
354,3
675,3
446,3
213,3
370,3
682,3
156,3
468,3
445,3
16,3
606,3
544,3
894,3
369,3
502,3
320,3
801,3
335,3
834,3
1067,3
766,3
1005,3
73,3
709,3
560,3
439,3
128,3
518,3
1214,3
236,3
1131,3
980,3
1211,3
383,3
223,3
431,3
684,3
193,3
1139,3
1178,3
558,3
132,3
571,3
1222,3
313,3
516,3
433,3
488,3
817,3
1157,3
48,3
1086,3
412,3
294,3
639,3
1038,3
651,3
698,3
147,3
255,3
401,3
1076,3
1208,3
1227,3
1177,3
252,3
290,3
1072,3
58,3
358,3
1176,3
865,3
1080,3
1160,3
297,3
108,3
258,3
1129,3
1030,3
538,3
361,3
963,3
966,3
965,3
847,3
160,3
247,3
1218,3
264,3
759,3
541,3
1108,3
1173,3
1083,3
514,3
810,3
959,3
814,3
70,3
763,3
719,3
64,3
164,3
194,3
867,3
1224,3
559,3
767,3
348,3
1135,3
649,3
521,3
405,3
489,3
679,3
1105,3
931,3
1003,3
1031,3
1044,3
187,3
312,3
1027,3
1101,3
245,3
281,3
720,3
493,3
451,3
395,3
287,3
1171,3
670,3
872,3
237,3
829,3
962,3
315,3
129,3
363,3
991,3
646,3
727,3
72,3
990,3
111,3
844,3
1142,3
883,3
149,3
107,3
997,3
1128,3
1174,3
174,3
256,3
1193,3
746,3
802,3
296,3
44,3
307,3
770,3
918,3
283,3
743,3
905,3
799,3
955,3
295,3
1078,3
503,3
605,3
1234,3
1226,3
994,3
838,3
150,3
59,3
522,3
669,3
9,3
722,3
921,3
711,3
1074,3
492,3
1017,3
478,3
641,3
633,3
1084,3
875,3
775,3
912,3
524,3
995,3
1137,3
1028,3
82,3
159,3
476,3
427,3
1092,3
155,3
690,3
234,3
441,3
413,3
978,3
1094,3
845,3
718,3
387,3
409,3
1213,3
957,3
402,3
685,3
7,3
203,3
181,3
462,3
499,3
144,3
222,3
874,3
820,3
1098,3
275,3
797,3
463,3
662,3
117,3
86,3
1119,3
666,3
1156,3
594,3
1180,3
819,3
282,3
440,3
537,3
574,3
464,3
486,3
964,3
604,3
996,3
953,3
924,3
517,3
789,3
1163,3
749,3
542,3
1000,3
1057,3
782,3
888,3
1219,3
26,3
868,3
1144,3
702,3
561,3
1161,3
71,3
232,3
647,3
490,3
109,3
739,3
1133,3
115,3
800,3
1045,3
593,3
923,3
790,3
381,3
161,3
89,3
188,3
898,3
839,3
660,3
423,3
712,3
78,3
43,3
523,3
311,3
781,3
630,3
528,3
1188,3
491,3
792,3
10,3
1169,3
319,3
17,3
627,3
1203,3
979,3
267,3
1087,3
289,3
157,3
769,3
347,3
130,3
1201,3
776,3
415,3
788,3
37,3
911,3
344,3
708,3
752,3
824,3
394,3
1061,3
24,3
351,3
91,3
1042,3
498,3
127,3
714,3
334,3
300,3
1121,3
896,3
611,3
154,3
933,3
573,3
80,3
139,3
95,3
272,3
543,3
603,3
555,3
1063,3
50,3
590,3
1006,3
437,3
215,3
761,3
224,3
345,3
1102,3
67,3
701,3
138,3
1041,3
376,3
602,3
452,3
210,3
342,3
136,3
1036,3
610,3
428,3
903,3
887,3
668,3
507,3
897,3
448,3
564,3
148,3
25,3
737,3
1195,3
680,3
895,3
418,3
228,3
371,3
862,3
1056,3
362,3
512,3
1138,3
849,3
1123,3
1009,3
654,3
436,3
30,3
813,3
620,3
1043,3
973,3
913,3
119,3
218,3
748,3
1127,3
23,3
863,3
1013,3
250,3
645,3
6,3
385,3
1049,3
163,3
1181,3
1019,3
1197,3
404,3
186,3
1065,3
68,3
616,3
487,3
902,3
851,3
1053,3
1165,3
967,3
442,3
201,3
501,3
398,3
916,3
509,3
324,3
169,3
497,3
93,3
1109,3
322,3
90,3
694,3
1204,3
587,3
906,3
1100,3
600,3
785,3
339,3
152,3
304,3
640,3
352,3
589,3
1052,3
566,3
167,3
1093,3
454,3
619,3
565,3
643,3
382,3
0,3
1014,3
466,3
112,3
854,3
848,3
131,3
192,3
653,3
1023,3
432,3
704,3
1022,3
1107,3
705,3
153,3
850,3
1150,3
796,3
1198,3
809,3
1040,3
270,3
460,3
243,3
787,3
876,3
942,3
99,3
506,3
634,3
744,3
235,3
292,3
716,3
388,3
747,3
695,3
652,3
81,3
60,3
211,3
305,3
291,3
172,3
986,3
1130,3
219,3
266,3
1233,3
1199,3
900,3
700,3
804,3
609,3
1200,3
473,3
121,3
1104,3
317,3
329,3
1148,3
622,3
168,3
191,3
910,4
1158,4
1018,4
97,4
735,4
742,4
707,4
61,4
1134,4
832,4
337,4
656,4
755,4
691,4
1060,4
359,4
657,4
274,4
449,4
815,4
