clone_id,0,1,2,3,4,5,6
A,0.0,1.0,0.0,1.0,0.0,1.0,1.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,1.0,0.14285714285714285,1.0,0.0,1.0,0.0
D,0.0,1.0,1.0,1.0,0.08423913043478261,1.0,0.3333333333333333
E,0.0,1.0,0.0,1.0,0.0,1.0,0.0
F,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.8303571428571428,0.0,0.0,0.0
H,0.14285714285714285,1.0,0.2222222222222222,1.0,0.4,1.0,0.47058823529411764
I,0.0,0.0,0.0,1.0,0.0,1.0,0.0
J,0.08,1.0,0.31789473684210523,1.0,0.8571428571428571,1.0,0.5855761143818335
K,0.18181818181818182,1.0,0.2857142857142857,1.0,0.6,1.0,0.6666666666666666
