,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,0.0,0.0,0.95,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.1742424242424242,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.950000000000001,0.0,0.0,0.0,0.0,0.9500000000000011,0.95,1.0,0.9500000000000008,0.9500000000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.25
K,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
