clone_id,0,1,2,3,4,5,6,7,8,9
A,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
B,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8,0.0,1.0
C,1.0,0.38125,1.0,1.0,0.0,0.6000000000000001,1.0,1.0,0.0,1.0
D,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
E,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,0.0,1.0
F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
G,0.0,0.42500000000000004,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,0.0,0.0
H,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.8142857142857143,1.0
I,1.0,1.0,1.0,1.0,0.4,0.0,1.0,1.0,1.0,1.0
J,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.0
K,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
L,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
M,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
