,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.9500000000000212,0.0,0.0,0.0,0.04999999999997884,0.0
K,0.0,0.9500000000000031,0.0,0.049999999999996936,0.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999987,0.0
