clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
C,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
D,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
E,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0
F,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0
G,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.3157894736842105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
H,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I,0.2698412698412698,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,0.36363636363636365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5454545454545454
J,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
K,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
