,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,1.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,-0.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0
7,-0.0,1.0,0.0,0.0,0.0,0.9999949012889542,1.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0
8,0.0,1.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.9999949012889542,1.0,0.0,0.0,0.0,0.0,1.0,5.098711045847609e-06,5.098711045847609e-06
9,5.096376969927088e-06,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.0,1.0
10,0.99999490362303,1.0,0.0,0.0,0.0,5.098711045847608e-06,1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,1.0,1.0,0.0,0.0,0.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
12,1.0,1.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
