clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,0.0,0.0,0.0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.6428571428571428,0.0,0.0,0.8
B,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
C,0.0,1.0,0.0,1.0,0.0,0.8999999999999999,0.0,0.0,0.0,0.0,1.0,0.8695652173913043,0.0,0.0,0.7769230769230769
D,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
K,0.0,0.13636363636363635,1.0,1.0,0.0,0.974291364535267,0.6666666666666666,0.0,0.9230769230769231,0.5694980694980695,1.0,0.9090909090909091,0.0,1.0,0.883076181292189
L,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7916666666666666,0.0,1.0,0.0,0.0
M,0.0,0.0,0.0,1.0,0.0,0.5714285714285714,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
N,0.0,0.6896551724137931,0.784324942791762,1.0,0.5454545454545454,1.0,0.6666666666666666,0.3225806451612903,0.0,0.5773809523809523,1.0,0.9781680113906028,0.47619047619047616,0.8,0.9044972861204446
