clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
A,0.7692307692307693,0.0,0.0,0.75,0.75,0.7272727272727273,0.75,0.0,0.0,0.8,0.7142857142857143,0.0,0.7272727272727273,0.7692307692307693,0.0,0.5,0.8,0.75,0.6666666666666666,0.0
B,0.8,0.0,0.0,0.8,0.7655677655677655,0.75,0.7692307692307693,1.0,0.0,0.0,0.75,0.0,0.7272727272727273,0.7692307692307693,0.0,0.6666666666666666,0.0,0.7717121588089331,0.7272727272727273,0.0
C,0.6666666666666666,0.0,0.0,0.6666666666666666,0.5,0.4444444444444444,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.6354166666666666,0.0,0.0,0.0,0.8888888888888888,0.4,0.0
D,0.9101995565410199,0.0,0.6428571428571429,0.8894389438943894,0.8888888888888888,0.8888888888888888,0.8947368421052632,0.0,0.0,0.0,0.8817204301075269,0.0,0.8955223880597015,0.892445054945055,0.5588235294117647,0.8722610722610722,0.0,0.8979591836734694,0.8717948717948718,0.0
E,1.0,0.8786764705882353,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6982097186700766,1.0,0.9375,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
F,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
G,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
I,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J,0.8,0.0,0.0,0.6666666666666666,0.5714285714285714,0.4,0.5714285714285714,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.5,0.0
K,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L,0.8148148148148148,0.0,0.0,0.775089605734767,0.7303030303030302,0.7602627257799671,0.8,0.0,0.0,0.0,0.7272727272727273,0.0,0.7655677655677655,0.7878787878787878,0.0,0.6076923076923078,0.0,0.8,0.7272727272727273,0.0
