clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,1.0,0.0,0.0,0.0,0.4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
B,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.375,0.0,0.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0
C,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0,0.8409610983981692,1.0,1.0,0.5,1.0,1.0,0.8181818181818182,1.0,0.8,0.5,1.0
D,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
E,1.0,0.64,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,0.06562847608453837,1.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8,0.8571428571428571,1.0
F,1.0,0.0,0.0,0.6333333333333333,1.0,0.3333333333333333,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,1.0
G,1.0,1.0,0.6153846153846154,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6282894736842105,1.0,0.8173400673400674,0.6666666666666666,0.0
H,0.5714285714285714,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
I,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
J,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.8,0.0,1.0
K,1.0,0.0,0.6153846153846154,1.0,1.0,1.0,1.0,1.0,0.2727272727272727,1.0,1.0,0.26666666666666666,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,1.0
