,0,1,2,3,4,5,6,7,8,9,10,11
A,0.0,0.0,0.0,3.7707312202010152e-06,0.0,0.0,0.0,3.7308706369865163e-06,0.0,0.9999924983981429,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.775641842466091,0.22435815753390895,0.0
D,0.0,0.33333333333333304,0.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.15789473684210575,0.0,0.0,0.0,0.06562847608453826,0.0,0.0,0.0,0.0,0.776476787073356
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,0.0,0.9999963592939943,0.0,3.640706005712763e-06,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,3.640706005712763e-06,0.0,0.0,0.0,0.0,0.9999963592939943,0.0,0.0
I,0.0,0.0,0.0,3.7707312202010152e-06,0.0,0.0,0.0,0.0,0.9999962292687798,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
