cluster,subcluster,cell
6,0,SA1090-A96213A-R20-C08
4,0,SA1090-A96213A-R20-C09
4,0,SA1090-A96213A-R20-C10
4,0,SA1090-A96213A-R20-C11
4,0,SA1090-A96213A-R20-C12
6,0,SA1090-A96213A-R20-C13
5,0,SA1090-A96213A-R20-C14
4,0,SA1090-A96213A-R20-C15
4,0,SA1090-A96213A-R20-C17
4,0,SA1090-A96213A-R20-C18
4,0,SA1090-A96213A-R20-C19
6,0,SA1090-A96213A-R20-C20
6,0,SA1090-A96213A-R20-C21
4,0,SA1090-A96213A-R20-C22
6,0,SA1090-A96213A-R20-C23
4,0,SA1090-A96213A-R20-C24
6,0,SA1090-A96213A-R20-C25
4,0,SA1090-A96213A-R20-C26
4,0,SA1090-A96213A-R20-C27
5,0,SA1090-A96213A-R20-C28
4,0,SA1090-A96213A-R20-C30
6,0,SA1090-A96213A-R20-C31
5,0,SA1090-A96213A-R20-C32
4,0,SA1090-A96213A-R20-C33
6,0,SA1090-A96213A-R20-C34
4,0,SA1090-A96213A-R20-C35
6,0,SA1090-A96213A-R20-C36
4,0,SA1090-A96213A-R20-C37
5,0,SA1090-A96213A-R20-C38
5,0,SA1090-A96213A-R20-C39
4,0,SA1090-A96213A-R20-C40
6,0,SA1090-A96213A-R20-C41
5,0,SA1090-A96213A-R20-C43
4,0,SA1090-A96213A-R20-C44
4,0,SA1090-A96213A-R20-C46
4,0,SA1090-A96213A-R20-C47
6,0,SA1090-A96213A-R20-C48
4,0,SA1090-A96213A-R20-C49
6,0,SA1090-A96213A-R20-C50
4,0,SA1090-A96213A-R20-C51
5,0,SA1090-A96213A-R20-C54
6,0,SA1090-A96213A-R20-C56
5,0,SA1090-A96213A-R20-C57
4,0,SA1090-A96213A-R20-C61
6,0,SA1090-A96213A-R20-C62
6,0,SA1090-A96213A-R20-C63
4,0,SA1090-A96213A-R20-C64
4,0,SA1090-A96213A-R20-C65
4,0,SA1090-A96213A-R20-C68
4,0,SA1090-A96213A-R20-C69
4,0,SA1090-A96213A-R21-C07
4,0,SA1090-A96213A-R22-C17
4,0,SA1090-A96213A-R22-C18
6,0,SA1090-A96213A-R22-C20
4,0,SA1090-A96213A-R22-C21
6,0,SA1090-A96213A-R22-C22
4,0,SA1090-A96213A-R22-C23
4,0,SA1090-A96213A-R22-C24
5,0,SA1090-A96213A-R22-C26
6,0,SA1090-A96213A-R22-C27
4,0,SA1090-A96213A-R22-C28
6,0,SA1090-A96213A-R22-C29
4,0,SA1090-A96213A-R22-C30
4,0,SA1090-A96213A-R22-C31
6,0,SA1090-A96213A-R22-C32
6,0,SA1090-A96213A-R22-C33
4,0,SA1090-A96213A-R22-C34
4,0,SA1090-A96213A-R22-C35
6,0,SA1090-A96213A-R22-C36
4,0,SA1090-A96213A-R22-C37
6,0,SA1090-A96213A-R22-C38
6,0,SA1090-A96213A-R22-C39
4,0,SA1090-A96213A-R22-C40
6,0,SA1090-A96213A-R22-C41
4,0,SA1090-A96213A-R22-C42
4,0,SA1090-A96213A-R22-C43
5,0,SA1090-A96213A-R22-C44
5,0,SA1090-A96213A-R22-C45
5,0,SA1090-A96213A-R22-C46
4,0,SA1090-A96213A-R22-C47
4,0,SA1090-A96213A-R22-C48
4,0,SA1090-A96213A-R22-C49
4,0,SA1090-A96213A-R22-C50
6,0,SA1090-A96213A-R24-C12
4,0,SA1090-A96213A-R24-C13
4,0,SA1090-A96213A-R24-C14
4,0,SA1090-A96213A-R24-C15
4,0,SA1090-A96213A-R24-C16
4,0,SA1090-A96213A-R24-C17
6,0,SA1090-A96213A-R24-C18
6,0,SA1090-A96213A-R24-C19
4,0,SA1090-A96213A-R24-C20
4,0,SA1090-A96213A-R24-C21
4,0,SA1090-A96213A-R24-C22
4,0,SA1090-A96213A-R24-C23
5,0,SA1090-A96213A-R24-C24
5,0,SA1090-A96213A-R24-C25
5,0,SA1090-A96213A-R24-C26
4,0,SA1090-A96213A-R24-C27
6,0,SA1090-A96213A-R24-C28
5,0,SA1090-A96213A-R24-C29
4,0,SA1090-A96213A-R24-C30
4,0,SA1090-A96213A-R24-C31
6,0,SA1090-A96213A-R24-C32
4,0,SA1090-A96213A-R24-C33
5,0,SA1090-A96213A-R24-C34
4,0,SA1090-A96213A-R24-C35
4,0,SA1090-A96213A-R24-C36
4,0,SA1090-A96213A-R24-C37
4,0,SA1090-A96213A-R24-C38
4,0,SA1090-A96213A-R24-C39
5,0,SA1090-A96213A-R24-C40
6,0,SA1090-A96213A-R24-C41
6,0,SA1090-A96213A-R24-C42
4,0,SA1090-A96213A-R24-C43
4,0,SA1090-A96213A-R24-C44
6,0,SA1090-A96213A-R24-C45
4,0,SA1090-A96213A-R24-C46
6,0,SA1090-A96213A-R24-C47
6,0,SA1090-A96213A-R24-C48
4,0,SA1090-A96213A-R24-C49
4,0,SA1090-A96213A-R24-C52
4,0,SA1090-A96213A-R24-C53
4,0,SA1090-A96213A-R24-C54
4,0,SA1090-A96213A-R24-C55
4,0,SA1090-A96213A-R24-C56
4,0,SA1090-A96213A-R24-C57
5,0,SA1090-A96213A-R24-C58
4,0,SA1090-A96213A-R24-C59
5,0,SA1090-A96213A-R24-C61
4,0,SA1090-A96213A-R24-C63
6,0,SA1090-A96213A-R24-C64
6,0,SA1090-A96213A-R24-C65
4,0,SA1090-A96213A-R24-C66
4,0,SA1090-A96213A-R24-C67
6,0,SA1090-A96213A-R24-C68
4,0,SA1090-A96213A-R24-C69
4,0,SA1090-A96213A-R24-C70
6,0,SA1090-A96213A-R25-C07
4,0,SA1090-A96213A-R25-C08
4,0,SA1090-A96213A-R25-C09
4,0,SA1090-A96213A-R25-C10
6,0,SA1090-A96213A-R25-C11
5,0,SA1090-A96213A-R25-C12
4,0,SA1090-A96213A-R25-C13
6,0,SA1090-A96213A-R25-C14
5,0,SA1090-A96213A-R25-C15
6,0,SA1090-A96213A-R25-C16
4,0,SA1090-A96213A-R25-C17
4,0,SA1090-A96213A-R25-C18
4,0,SA1090-A96213A-R25-C19
4,0,SA1090-A96213A-R25-C20
6,0,SA1090-A96213A-R25-C21
5,0,SA1090-A96213A-R25-C22
4,0,SA1090-A96213A-R25-C23
4,0,SA1090-A96213A-R25-C24
5,0,SA1090-A96213A-R25-C25
5,0,SA1090-A96213A-R25-C27
4,0,SA1090-A96213A-R25-C28
5,0,SA1090-A96213A-R25-C29
6,0,SA1090-A96213A-R25-C30
6,0,SA1090-A96213A-R25-C31
