clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0
C,1.0,1.0,0.0,0.0,0.0,0.0,0.34375,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.2727272727272727,0.0,0.4444444444444444
D,0.0,1.0,0.0,0.0,0.0,0.0,0.38125,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
E,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.0,0.0
F,0.0,1.0,0.23557692307692307,0.7272727272727273,0.0,0.8,0.7058823529411764,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.6285714285714286,0.673076923076923,0.0,0.75
G,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
H,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8571428571428571
I,0.0,0.9375,0.0,0.6666666666666666,0.0,0.75,0.6177884615384616,0.0,0.0,0.75,1.0,1.0,1.0,0.3571428571428571,0.8,0.0,0.6923076923076923
J,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6000000000000001
K,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
M,0.0,1.0,0.0,0.75,0.0,0.6923076923076923,0.6343984962406015,0.0,0.0,0.6,0.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.75
