,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0,5,272,200,170,208,195,176,172,239,208,41,34
B,355,0,269,197,168,206,547,174,522,238,206,39,32
C,578,225,0,397,247,256,625,252,600,264,256,239,231
D,356,3,247,0,139,207,518,145,493,208,206,10,10
E,357,5,128,170,0,71,381,9,356,71,71,2,1
F,359,7,101,202,35,0,412,40,387,36,4,34,27
G,4,6,128,171,3,70,0,6,2,71,70,3,3
H,355,3,125,168,1,68,376,0,351,69,68,1,1
I,7,7,129,172,4,71,28,7,0,72,71,4,4
J,356,5,75,169,1,2,379,7,354,0,1,2,1
K,357,5,99,199,33,2,410,38,385,33,0,32,25
L,356,4,248,169,130,198,509,137,484,200,198,0,1
M,356,4,247,176,136,198,516,144,491,206,198,8,0
