clone_id,0,1,2,3,4,5,6,7,8,9,10
A,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,0.0,0.0,1.0,0.8452380952380951,0.0,0.0,1.0,0.0,0.0,0.0,1.0
C,0.42857142857142855,0.0,1.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.3875
D,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
E,0.0,1.0,1.0,0.0,0.0,0.0,0.6166666666666667,1.0,0.0,0.0,0.0
F,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8571428571428571,0.0,1.0,0.75,0.0,0.6666666666666666,0.8
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
I,0.6547619047619047,0.0,1.0,0.6000000000000001,0.0,0.0,1.0,0.6107142857142858,0.0,0.5,0.631578947368421
J,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.0,1.0,0.5
K,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.6000000000000001,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.75,0.0,0.4365079365079365,0.8376623376623376
