clone_id,0,1,2,3,4,5,6,7,8,9,10,11
A,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,1.0,0.0
B,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
C,1.0,0.30000000000000004,0.30000000000000004,1.0,0.6000000000000001,0.0,1.0,1.0,1.0,1.0,1.0,1.0
D,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.44047619047619047
E,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.5535714285714286
F,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
G,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
H,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0
I,1.0,0.0,1.0,1.0,0.6000000000000001,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0
J,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
K,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
L,1.0,0.0,0.0,1.0,0.75,0.0,1.0,0.7291666666666666,1.0,1.0,1.0,1.0
M,1.0,1.0,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
