clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
B,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.7142857142857142
C,0.0,0.0,0.0,0.4444444444444444,0.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.6000000000000001
D,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.625,0.0,0.0,1.0,0.0
E,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6000000000000001,0.0
F,0.7272727272727273,0.5714285714285714,0.0,0.8571428571428571,0.0,0.8,1.0,0.0,0.6666666666666666,0.5714285714285714,0.0,1.0,0.801923076923077
G,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
H,0.0,0.75,0.0,0.0,0.0,0.5857142857142857,0.7875000000000001,0.0,0.0,0.0,0.0,1.0,0.5428571428571428
I,0.6666666666666666,0.5981481481481481,0.0,0.8,0.0,0.8944444444444444,1.0,0.0,0.5714285714285714,0.0,0.6666666666666666,1.0,0.6666666666666666
J,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.0,0.0,1.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6000000000000001,1.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0,0.0,0.6666666666666666,0.0,1.0,0.42500000000000004
M,0.5714285714285714,0.39375000000000004,0.0,0.75,0.5,0.905982905982906,1.0,0.0,0.5555555555555556,0.4,0.0,1.0,0.75
