clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
B,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
C,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
D,0.0,0.8181818181818181,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
E,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
F,0.0,1.0,0.0,0.8972222222222221,0.5424242424242424,0.5714285714285714,0.6428571428571429,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.6666666666666666
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
H,0.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
I,0.0,1.0,0.0,0.8,0.6666666666666666,0.0,0.625,0.0,0.0,0.5714285714285714,1.0,1.0,1.0,0.375
J,0.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
M,0.0,1.0,1.0,0.6666666666666666,0.5,0.5,0.75,0.0,0.0,0.6177884615384616,0.0,1.0,1.0,0.5
