clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
B,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
C,0.75,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.0,0.0,1.0
D,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5595238095238095,0.0,0.0,0.0,0.8511904761904762
E,0.0,1.0,1.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,0.7596153846153846,0.5714285714285714,1.0,0.6482142857142857,0.0,0.8,1.0,0.75,0.0,0.6000000000000001,0.6666666666666666,0.0,0.7058823529411764,0.553030303030303,0.8999999999999999
G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.0,0.0,1.0,0.5714285714285714,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,1.0
I,0.8090909090909091,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.75,0.0,0.5714285714285714,0.6666666666666666,0.0,0.5647321428571428,0.0,0.8497536945812807
J,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5340909090909091
K,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
L,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
M,0.8,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.6000000000000001,0.0,0.5,0.8,0.0,0.35561497326203206,0.0,1.0
