clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
B,0.6000000000000001,1.0,1.0,1.0,0.0,0.46590909090909094,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
C,1.0,1.0,1.0,1.0,1.0,0.8511904761904762,1.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,1.0
D,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
E,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.48863636363636365,0.0,0.0,0.0,0.0,1.0
F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.0,1.0,1.0,1.0
G,0.0,0.0,1.0,0.8125,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0
H,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
I,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.41428571428571426,1.0,1.0,1.0,1.0,0.0,1.0
J,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
K,1.0,0.6333333333333333,1.0,0.0,0.0,0.8809523809523809,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
L,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
M,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0
