clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
B,0.8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
C,1.0,1.0,0.0,1.0,0.8571428571428571,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
D,0.0,1.0,0.0,0.0,0.7272727272727273,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.375,1.0,0.0,1.0
E,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
F,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.7137096774193548,1.0,1.0,1.0,1.0,1.0,1.0
G,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6333333333333333,0.75,0.0,1.0,1.0,0.0,1.0,0.0,0.0
H,0.0,1.0,0.0,1.0,0.5454545454545454,1.0,0.525,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
I,0.0,1.0,0.0,1.0,0.8571428571428571,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
J,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
K,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,1.0
L,0.0,0.0,0.0,1.0,0.0,1.0,0.7875000000000001,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.25,0.9642857142857143,1.0
M,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
