clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,1.0,0.0,0.0,0.7329545454545454,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.7769230769230769,0.0
D,1.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
F,1.0,0.5,0.0,0.8571428571428571,0.6666666666666666,0.0,0.75,0.6666666666666666,1.0,0.6666666666666666,1.0,0.75,0.5,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
G,0.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
I,1.0,0.0,0.0,0.75,0.7596153846153846,0.8571428571428571,0.75,0.7211538461538461,1.0,0.5454545454545454,1.0,0.631578947368421,0.0,0.0,0.5595238095238095,0.0,0.3141025641025641,0.0
J,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0
K,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
M,1.0,0.0,0.0,0.8,0.75,0.0,0.8181818181818181,0.375,1.0,0.6177884615384616,1.0,0.5714285714285714,0.0,0.0,0.6000000000000001,1.0,0.6000000000000001,0.0
