clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
A,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0
B,1.0,0.6062500000000001,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
C,1.0,0.6,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4083333333333333,1.0,1.0,0.2964285714285715,1.0,0.0
D,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
E,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
F,1.0,1.0,0.8136363636363636,1.0,1.0,0.46153846153846156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8142857142857143,1.0,1.0,1.0,1.0
G,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
H,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5785714285714285,1.0,0.0,1.0,0.0
I,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,1.0,0.0
J,1.0,1.0,0.0,1.0,0.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
K,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5357142857142857,0.0,1.0,0.0
L,1.0,1.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,0.0,0.0,0.0
M,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
