clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
A,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.39375000000000004,0.0,0.0,0.0
B,1.0,0.625,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
C,1.0,0.4444444444444444,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5572916666666667,1.0,1.0,0.6666666666666666,1.0,0.0,0.0,1.0
D,1.0,0.0,0.0,1.0,0.65,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.45,0.0,1.0
E,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
F,1.0,1.0,0.684863523573201,1.0,1.0,0.29642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
G,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
H,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6000000000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
I,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0
J,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.3484848484848485,0.0,1.0
K,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.7291666666666666,0.0,0.0,0.0,0.0,0.0
L,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
M,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
