,0,1,2,3,4,5,6,7,8,9,10,11,12,13
A,0.0,0.9999904570439739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.542956026065141e-06,0.0
B,0.0,0.0,0.0,0.0,0.0,0.999993638029316,0.0,0.0,0.0,4.771478013032571e-06,0.0,0.0,1.590492671010857e-06,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999904570439739,9.542956026065141e-06,0.0,0.0
D,0.0,0.0,0.0,0.0,0.0,0.6999837769747557,0.0,0.0,0.0,0.0,9.542956026065141e-06,0.0,0.3000066800692182,0.0
E,0.0,0.0,0.0,0.0,0.0,0.9999713711319218,0.0,0.0,0.0,0.0,9.542956026065141e-06,9.542956026065141e-06,9.542956026065141e-06,0.0
F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.908591205211575e-06,0.0,0.0,0.0,0.049999681901465864,0.0,0.949998409507329
G,0.0,0.0,0.0,0.0,0.9999904570439739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.542956026065141e-06,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.9999936380293158,6.3619706841435486e-06,0.0,0.0,0.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,9.542956026065141e-06,0.0,0.9999904570439739,0.0,0.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995228521987,4.771478013032571e-06,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999995228521987,0.0,0.0,4.771478013032571e-06,0.0
L,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.542956026065141e-06,0.0,0.9999904570439739,0.0,0.0
