,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
2,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0
4,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,1.0
5,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,-0.0,-0.0,1.0
6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,-0.0,1.0
7,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,-0.0,1.0
8,1.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,1.0
A,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
B,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,1.0
D,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0
G,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
