,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
2,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0
3,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
4,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,1.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.0
5,5.300034980226798e-06,-0.0,0.9999920499475297,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.9999920499475297,0.9999920499475297,-0.0,0.9999920499475297,0.0,2.650017490113399e-06,0.9999920499475297,-0.0,-0.0,-0.0
6,5.300034980226798e-06,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,2.650017490113399e-06,1.0,-0.0,-0.0,2.650017490099778e-06
7,-0.0,-0.0,1.0,0.0,2.650017490099778e-06,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,2.650017490113399e-06,1.0,1.0,2.650017490099778e-06,-0.0
8,0.9999973499825099,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,1.0,0.9999973499825099,-0.0,2.6500174901649687e-06
9,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.6500174901649687e-06
10,2.650017490113399e-06,0.9999973499825099,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,-0.0,2.6500174901649687e-06
11,-0.0,0.9999973499825099,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,-0.0,2.6500174901649687e-06
12,-0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0,2.650017490099778e-06
13,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.650017490099778e-06
14,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0,2.650017490099778e-06
15,-0.0,7.741735697508467e-06,1.0,0.0,7.741735697508467e-06,0.0,0.0,7.741735697397445e-06,-0.0,1.0,1.0,0.9999922582643025,1.0,0.0,1.0,1.0,1.0,7.74173569714858e-06,2.650017490099778e-06
16,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.650017490099778e-06
17,2.650017490113399e-06,0.0,1.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,2.650017490113399e-06,1.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,-0.0,0.9999973499825099
A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
B,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9999973499825099
D,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.9999946999650198,0.0,0.0
G,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
