,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.2524423603571235e-06,6.2524423603571235e-06,0.0,-0.0,0.0,-0.0,6.2524423603571235e-06,-0.0,-0.0,6.2524423603571235e-06,1.0,0.0,-0.0,-0.0,6.2524423603571235e-06,6.2524423603571235e-06,-0.0,-0.0,0.0,0.0
2,0.0,-0.0,0.0,0.0,0.0,0.0,0.9999906213364594,0.0,0.0,-0.0,1.0,0.0,-0.0,0.0,0.0,9.378663540535686e-06,0.0,-0.0,0.0,0.0
3,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
4,9.37866354040547e-06,1.0,0.0,0.0,0.0,-0.0,1.0,9.378663540424663e-06,-0.0,-0.0,1.0,0.0,-0.0,9.37866354040547e-06,-0.0,9.378663540535686e-06,9.37866354040547e-06,-0.0,0.0,0.0
5,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,0.0
6,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,9.378663540424663e-06,1.0,-0.0,-0.0,-0.0,0.0,0.0
7,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,1.0,4.6893317703093025e-06,-0.0,-0.0,0.0,0.0
8,0.0,1.0,0.0,0.0,0.0,0.9999953106682298,1.0,0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,1.0,4.6893317703093025e-06,-0.0,-0.0,0.0,0.0
9,-0.0,1.0,0.0,-0.0,0.0,0.9999906213364594,1.0,-0.0,-0.0,0.9999911626066018,1.0,0.0,-0.0,-0.0,1.0,-0.0,-0.0,8.837393398178432e-06,0.0,0.0
10,-0.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9999906213364596,0.0,0.0
11,0.9999906213364594,1.0,0.0,-0.0,0.0,-0.0,1.0,0.9999906213364594,-0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9999906213364596,0.0,0.0
12,1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,0.0,9.378663540535686e-06,1.0,0.9999906213364596,0.0,0.0
B,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.378663540560161e-06,0.0,0.9999906213364596,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.37866354044914e-06,9.37866354044914e-06,0.0,0.0,0.0,0.0,0.0
Q,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.378663540560161e-06,0.0,0.0,0.0,0.0
