clone_id,0,1,2,3,4,5,6,7,8,9
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
E,1.0,1.0,0.0,1.0,0.6923076923076923,1.0,0.0,0.13833199679230151,1.0,0.0
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
H,0.3,1.0,1.0,1.0,1.0,0.9230769230769231,0.5454545454545454,0.21650998824911868,1.0,0.0
J,0.5714285714285714,1.0,0.0,1.0,0.8978659444014525,0.9648068371317399,0.09090909090909091,1.0,1.0,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
