clone_id,0,1,2,3,4,5,6,7,8,9,10
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
E,1.0,1.0,0.0,1.0,0.6956521739130435,1.0,0.0,0.13115942028985506,1.0,0.0,0.8441295546558705
G,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
H,0.30000000000000004,1.0,1.0,1.0,1.0,1.0,0.5454545454545454,0.21052631578947367,1.0,0.0,0.4067796610169492
J,0.5925925925925926,1.0,0.0,1.0,0.8999999999999999,1.0,0.0547979797979798,1.0,1.0,0.0,0.6666666666666666
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
