clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
E,0.0,1.0,1.0,0.8,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,0.9565217391304348,1.0,0.4444444444444444
G,0.0,1.0,1.0,0.4444444444444444,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
H,0.0,1.0,1.0,0.9705627705627706,0.2222222222222222,1.0,0.972972972972973,0.0,0.8571428571428571,1.0,1.0,1.0,0.5333333333333333
J,0.0,1.0,1.0,0.9633467664555746,0.8500984251968504,1.0,0.0,1.0,0.38235294117647056,1.0,1.0,1.0,0.5161290322580645
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
