clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.0,1.0,0.8571428571428571,0.0,0.0,0.9333333333333333,0.0,1.0,0.0,0.8571428571428571,0.0,0.0,0.75,0.0,0.0,0.0,0.0
E,0.0,0.8648648648648649,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.8,0.34285714285714286,0.8651515151515152,0.6666666666666666,0.5,0.10344827586206896,0.0,0.0,0.0,0.0
G,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
H,0.0,0.8620689655172414,0.7536635706914345,0.10357142857142858,0.0,0.75,0.7619047619047619,0.0,0.729020979020979,1.0,0.5880018674136321,0.7465146793505003,0.0,0.20588235294117646,0.4444444444444444,0.5423728813559322,0.3103448275862069
J,0.0,0.8655737704918034,0.6923076923076923,0.3756377551020408,0.33875181422351236,0.6666666666666666,0.0,0.05722495894909688,0.6332893869479235,0.8983494363929146,0.4842489919354839,0.6547021943573668,0.19753086419753085,0.0,0.0,0.5263157894736842,0.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
