clone_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.0,1.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0
E,0.6666666666666666,0.0,0.5714285714285714,0.0,0.7058823529411765,0.0,0.526604973973395,0.5313725490196078,0.6428571428571428,1.0,0.3794642857142857,0.0,0.2222222222222222,0.3076923076923077,0.9333333333333333,0.0,0.0,0.75,0.14547038327526135
G,1.0,0.0,0.0,0.0,0.0,0.8,0.5222567287784678,0.0,0.0,1.0,0.4,1.0,0.0,0.8,1.0,0.0,0.0,1.0,0.0
H,0.7533023735810114,0.0,0.0,0.5217391304347826,0.6973220577871742,0.6060606060606061,0.5601098901098902,0.42105263157894735,0.7341772151898734,1.0,0.7850707850707851,0.16410399776348894,0.0,0.7164179104477612,1.0,0.48,0.0,0.7142857142857143,0.6941295546558703
J,0.6915954415954415,0.0,0.0,0.0,0.6206896551724138,0.5357142857142857,0.588436744560838,0.5714285714285714,0.6555059523809523,0.9751847290640394,0.573544660050363,0.0,0.15,0.6,0.9333333333333333,0.4,0.5714285714285714,0.6428571428571428,0.42709216850438225
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.18181818181818182,0.0,0.0,0.0,0.0
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
