,ncells,n_mutation_groups,mutation_group_size,coverage,n_clusters,seed,accuracy_given_clusters,error_given_clusters,accuracy_given_k_kmeans,error_given_k_kmeans,accuracy_kmeans,error_kmeans,accuracy_phertilizer,error_phertilizer,accuracy_given_k_kmeans_post,error_given_k_kmeans_post,accuracy_kmeans_post,error_kmeans_post,accuracy_pharming,error_pharming
0,1000,5,100,0.02,5,0,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p5_s0/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s0/solution_0/B.csv',0.43817787418655096,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s0/solution_0/B.csv',0.6247288503253796,,0.2017353579175705,
1,1000,5,100,0.02,5,1,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p5_s1/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s1/solution_0/B.csv',0.9618320610687023,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s1/solution_0/B.csv',0.9618320610687023,,0.0,
2,1000,5,100,0.02,5,2,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p5_s2/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s2/solution_0/B.csv',0.154296875,,0.4150390625,,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s2/solution_0/B.csv',0.310546875,,0.0,
3,1000,5,100,0.02,5,3,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p5_s3/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s3/solution_0/B.csv',0.26848249027237353,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s3/solution_0/B.csv',0.38910505836575876,,0.20038910505836577,
4,1000,5,100,0.02,5,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p5_s4/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s4/solution_0/B.csv',0.3154875717017208,,0.37476099426386233,,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p5_s4/solution_0/B.csv',0.3154875717017208,,0.19120458891013384,
5,1000,5,100,0.02,10,0,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p10_s0/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s0/solution_0/B.csv',0.4769874476987448,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s0/solution_0/B.csv',0.4769874476987448,,0.0,
6,1000,5,100,0.02,10,1,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p10_s1/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s1/solution_0/B.csv',0.1264591439688716,,,Source nan is not in G,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s1/solution_0/B.csv',0.4027237354085603,,0.0,
7,1000,5,100,0.02,10,2,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p10_s2/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s2/solution_0/B.csv',0.3622881355932203,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s2/solution_0/B.csv',0.6101694915254238,,0.0,
8,1000,5,100,0.02,10,3,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p10_s3/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s3/solution_0/B.csv',0.0,,,"Expected a single root, found 0 nodes with in-degree 0",,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s3/solution_0/B.csv',0.0,,0.052104208416833664,
9,1000,5,100,0.02,10,4,,[Errno 2] No such file or directory: '../data/simulation/scope_output/n1000_m5_size100_cov0.02_p10_s4/solution_0/B.csv',,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s4/solution_0/B.csv',0.12083333333333333,,0.18541666666666667,,,[Errno 2] No such file or directory: '../data/simulation/scope_output_kmeans_known_k/n1000_m5_size100_cov0.02_p10_s4/solution_0/B.csv',0.13333333333333333,,0.15208333333333332,
