,ncells,n_mutation_groups,mutation_group_size,coverage,n_clusters,seed,accuracy_scope,error_scope,accuracy_kmeans,error_kmeans,accuracy_phertilizer,error_phertilizer,accuracy_pharming,error_pharming,accuracy_sbmclone,error_sbmclone,accuracy_scope_all
0,1000,5,100,0.02,5,0,81.6025,,45.1185,,44.4422,,566.4916,,5.5584,,126.721
1,1000,5,100,0.02,5,1,127.2473,,6.4503,,41.0947,,1304.1659,,5.0475,,133.6976
2,1000,5,100,0.02,5,2,10.9943,,113.5454,,96.1362,,651.1456,,604.208,,124.5397
3,1000,5,100,0.02,5,3,67.9424,,75.7049,,48.1838,,1630.5939,,8.1963,,143.6473
4,1000,5,100,0.02,5,4,143.3295,,46.6442,,36.577,,421.0756,,6.1755,,189.9737
5,1000,5,100,0.02,10,0,120.9487,,157.1821,,53.3762,,898.3817,,6.2486,,278.1308
6,1000,5,100,0.02,10,1,127.0442,,6.4889,,28.2273,,1186.3881,,3.1626,,133.5331
7,1000,5,100,0.02,10,2,11.8808,,112.2057,,24.5913,,226.1041,,6.0667,,124.0865
8,1000,5,100,0.02,10,3,102.7852,,77.335,,76.3691,,699.1513,,5.4661,,180.1202
9,1000,5,100,0.02,10,4,171.2647,,6.7875,,37.3406,,956.6029,,8.3422,,178.0522
10,1000,5,100,0.02,15,0,134.4429,,128.7766,,96.0564,,993.4478,,3.0574,,263.21950000000004
11,1000,5,100,0.02,15,1,142.6339,,29.6364,,56.5095,,787.0393,,2.6336,,172.27030000000002
12,1000,5,100,0.02,15,2,15.6841,,104.5003,,34.0151,,458.9442,,10.2316,,120.1844
13,1000,5,100,0.02,15,3,99.7677,,83.5846,,40.3451,,1137.4208,,7.241,,183.3523
14,1000,5,100,0.02,15,4,79.7863,,14.4717,,28.2734,,856.5277,,5.4897,,94.258
15,1000,5,100,0.05,5,0,55.0001,,36.3442,,34.535,,520.5585,,11.5253,,91.3443
16,1000,5,100,0.05,5,1,178.69,,6.5983,,35.6391,,1320.6523,,8.9147,,185.2883
17,1000,5,100,0.05,5,2,302.9887,,109.8035,,77.9141,,369.5686,,5.6612,,412.7922
18,1000,5,100,0.05,5,3,91.3863,,70.6649,,40.8451,,736.498,,6.1969,,162.0512
19,1000,5,100,0.05,5,4,1349.553,,48.688,,38.7643,,425.8015,,10.8804,,1398.2410000000002
20,1000,5,100,0.05,10,0,177.3867,,116.6846,,80.8587,,399.5789,,10.1025,,294.0713
21,1000,5,100,0.05,10,1,126.5609,,6.4572,,76.8334,,659.3033,,10.8433,,133.0181
22,1000,5,100,0.05,10,2,1286.9212,,119.0049,,27.2413,,575.914,,12.6868,,1405.9261
23,1000,5,100,0.05,10,3,82.8031,,85.7199,,83.0445,,695.6981,,11.1089,,168.523
24,1000,5,100,0.05,10,4,159.3942,,15.6944,,31.7398,,904.8965,,613.7488,,175.0886
25,1000,5,100,0.05,15,0,133.8724,,128.1254,,86.1697,,1072.8481,,9.2584,,261.9978
26,1000,5,100,0.05,15,1,67.7032,,33.6298,,64.8547,,900.9726,,13.3351,,101.333
27,1000,5,100,0.05,15,2,222.4724,,113.532,,93.1929,,537.7895,,16.8388,,336.0044
28,1000,5,100,0.05,15,3,7827.7876,,134.5274,,40.0506,,557.9934,,617.6634,,7962.315
29,1000,5,100,0.05,15,4,79.291,,19.2693,,44.9139,,843.529,,10.4373,,98.5603
30,1000,5,100,0.1,5,0,731.379,,155.3044,,35.1596,,508.5076,,13.8167,,886.6834
31,1000,5,100,0.1,5,1,188.9907,,6.9165,,40.3313,,1207.0063,,13.6612,,195.90720000000002
32,1000,5,100,0.1,5,2,60.5224,,102.8677,,88.5408,,32308.5061,,10.873,,163.3901
33,1000,5,100,0.1,5,3,82.1991,,77.325,,45.7866,,1602.9231,,6.2103,,159.5241
34,1000,5,100,0.1,5,4,135.8101,,7.3063,,35.4704,,413.8589,,14.5153,,143.1164
35,1000,5,100,0.1,10,0,131.0245,,94.4173,,66.8915,,385.5251,,14.5265,,225.4418
36,1000,5,100,0.1,10,1,800.7683,,8.1675,,61.8112,,1244.419,,6.5798,,808.9358
37,1000,5,100,0.1,10,2,6375.8062,,129.7386,,102.4181,,222.8375,,14.0156,,6505.5448
38,1000,5,100,0.1,10,3,102.2331,,79.3608,,45.8412,,1365.4961,,15.6058,,181.5939
39,1000,5,100,0.1,10,4,1809.4215,,40.4478,,47.0397,,1764.0579,,11.617,,1849.8692999999998
40,1000,5,100,0.1,15,0,2306.7626,,127.4417,,26.5132,,437.9696,,15.7368,,2434.2043
41,1000,5,100,0.1,15,1,376.2112,,48.2049,,46.2117,,876.7037,,16.5125,,424.41610000000003
42,1000,5,100,0.1,15,2,676.8984,,121.1204,,29.2098,,445.3635,,19.1072,,798.0188
43,1000,5,100,0.1,15,3,9240.8277,,157.5649,,39.3009,,550.7721,,9.7743,,9398.3926
44,1000,5,100,0.1,15,4,808.0787,,17.0018,,51.785,,768.1229,,15.9775,,825.0805
45,1000,5,500,0.02,5,0,33.0572,,83.2978,,29.3655,,1306.5719,,35.428,,116.35499999999999
46,1000,5,500,0.02,5,1,150.1961,,60.1106,,22.7457,,2057.2043,,12.1066,,210.3067
47,1000,5,500,0.02,5,2,156.0554,,156.1947,,61.7513,,5841.2224,,16.8424,,312.2501
48,1000,5,500,0.02,5,3,99.1927,,168.8153,,22.6107,,5107.6236,,12.7047,,268.00800000000004
49,1000,5,500,0.02,5,4,129.3823,,27.6911,,28.74,,1121.7789,,9.1395,,157.0734
50,1000,5,500,0.02,10,0,22.2081,,110.9093,,78.8723,,2291.2874,,15.0342,,133.1174
51,1000,5,500,0.02,10,1,48.549,,58.0737,,67.2391,,1910.7264,,22.0948,,106.62270000000001
52,1000,5,500,0.02,10,2,17.6321,,142.7132,,67.7316,,2378.9852,,13.2156,,160.3453
53,1000,5,500,0.02,10,3,116.4347,,210.3116,,26.3514,,1853.1331,,15.1439,,326.7463
54,1000,5,500,0.02,10,4,105.6983,,31.2406,,37.6942,,3484.9778,,19.3008,,136.9389
55,1000,5,500,0.02,15,0,45.9056,,90.1286,,49.8605,,6437.9751,,11.961,,136.0342
56,1000,5,500,0.02,15,1,166.6153,,80.757,,39.8215,,864.8086,,33.6162,,247.3723
57,1000,5,500,0.02,15,2,33.5934,,88.8383,,63.5889,,5569.7337,,6.9292,,122.4317
58,1000,5,500,0.02,15,3,121.5114,,90.3471,,36.3918,,1287.2857,,22.0587,,211.8585
59,1000,5,500,0.02,15,4,26.2498,,29.9468,,45.1726,,1959.7625,,13.5425,,56.196600000000004
60,1000,5,500,0.05,5,0,515.3795,,86.071,,35.5643,,1156.895,,24.5358,,601.4505
61,1000,5,500,0.05,5,1,397.5354,,77.8714,,79.5745,,2391.2438,,30.0558,,475.4068
62,1000,5,500,0.05,5,2,173.4101,,204.3344,,48.4145,,4914.8942,,16.5863,,377.7445
63,1000,5,500,0.05,5,3,107.5641,,187.7874,,40.7503,,1907.4792,,15.9251,,295.3515
64,1000,5,500,0.05,5,4,794.369,,34.7501,,28.2899,,1406.9341,,37.5632,,829.1191
65,1000,5,500,0.05,10,0,55.2739,,108.7047,,55.0811,,7005.306,,23.3856,,163.9786
66,1000,5,500,0.05,10,1,4.4753,,83.9447,,78.2423,,5058.3481,,24.8631,,88.42
67,1000,5,500,0.05,10,2,75.2272,,179.7059,,97.0196,,2008.579,,21.9502,,254.93310000000002
68,1000,5,500,0.05,10,3,114.5847,,199.0453,,34.8017,,2298.1152,,41.6955,,313.63
69,1000,5,500,0.05,10,4,69.0336,,35.5647,,75.3224,,1252.7919,,33.7708,,104.59830000000001
70,1000,5,500,0.05,15,0,57.2272,,97.7318,,39.9402,,5386.5326,,43.6701,,154.959
71,1000,5,500,0.05,15,1,93.3778,,78.4652,,50.55,,1047.2644,,15.3266,,171.843
72,1000,5,500,0.05,15,2,60.736,,91.2207,,93.1582,,4934.3818,,18.4577,,151.95669999999998
73,1000,5,500,0.05,15,3,500.1561,,232.9974,,77.7574,,1446.0295,,49.5221,,733.1535
74,1000,5,500,0.05,15,4,16.1995,,30.4876,,87.8583,,2084.1691,,42.7079,,46.6871
75,1000,5,500,0.1,5,0,60.1369,,129.1123,,58.7737,,1468.511,,56.1118,,189.2492
76,1000,5,500,0.1,5,1,4188.168,,83.5162,,48.741,,2560.4146,,27.5465,,4271.6842
77,1000,5,500,0.1,5,2,2011.8659,,192.9685,,54.3162,,5258.1102,,52.115,,2204.8344
78,1000,5,500,0.1,5,3,112.8238,,211.2149,,37.4705,,1942.9252,,10.524,,324.0387
79,1000,5,500,0.1,5,4,133.7474,,25.9687,,27.1834,,1143.03,,36.3135,,159.71609999999998
80,1000,5,500,0.1,10,0,27786.7389,,88.2115,,48.84,,7459.5172,,25.7745,,27874.9504
81,1000,5,500,0.1,10,1,839.1116,,63.938,,47.5974,,5982.2541,,58.3102,,903.0495999999999
82,1000,5,500,0.1,10,2,83.7513,,183.1324,,95.7821,,2546.9413,,47.024,,266.8837
83,1000,5,500,0.1,10,3,2190.7671,,254.8242,,44.4514,,2014.7546,,15.2602,,2445.5913
84,1000,5,500,0.1,10,4,147.3991,,38.2787,,94.0182,,3753.9352,,43.4644,,185.6778
85,1000,5,500,0.1,15,0,7302.8725,,158.206,,73.7791,,6030.7676,,46.1729,,7461.0785000000005
86,1000,5,500,0.1,15,1,5108.0038,,112.31,,56.3796,,998.6498,,56.7118,,5220.313800000001
87,1000,5,500,0.1,15,2,2641.6852,,111.4918,,58.9812,,4781.9325,,37.6118,,2753.1769999999997
88,1000,5,500,0.1,15,3,2065.0321,,266.1082,,74.0288,,4321.0716,,24.7165,,2331.1403
89,1000,5,500,0.1,15,4,103.8072,,27.4517,,43.7602,,2108.9748,,60.5443,,131.25889999999998
90,1000,5,1000,0.02,5,0,29.7844,,340.845,,33.7888,,8924.3098,,28.5415,,370.62940000000003
91,1000,5,1000,0.02,5,1,124.8728,,212.9647,,30.9068,,3540.9287,,21.7733,,337.8375
92,1000,5,1000,0.02,5,2,63.9648,,218.9704,,43.633,,4563.7907,,23.5428,,282.9352
93,1000,5,1000,0.02,5,3,116.6906,,486.1638,,87.8424,,9252.7139,,18.6716,,602.8543999999999
94,1000,5,1000,0.02,5,4,25.6798,,76.2439,,41.3949,,5896.2981,,31.1331,,101.9237
95,1000,5,1000,0.02,10,0,41.855,,430.2474,,27.31,,10039.5513,,31.1366,,472.10240000000005
96,1000,5,1000,0.02,10,1,102.5347,,215.7703,,27.6368,,5338.6414,,31.2789,,318.305
97,1000,5,1000,0.02,10,2,99.0969,,230.9628,,33.2038,,6130.7991,,32.2707,,330.0597
98,1000,5,1000,0.02,10,3,121.5467,,470.3779,,40.3211,,6887.8517,,10.2085,,591.9246
99,1000,5,1000,0.02,10,4,19.7555,,114.4969,,84.4949,,5207.5897,,15.225,,134.2524
100,1000,5,1000,0.02,15,0,138.1218,,415.5551,,44.8116,,2621.1109,,41.7178,,553.6768999999999
101,1000,5,1000,0.02,15,1,149.2289,,241.7757,,31.4666,,2880.742,,25.5703,,391.0046
102,1000,5,1000,0.02,15,2,80.3656,,269.2398,,34.9173,,9184.5176,,28.9976,,349.60540000000003
103,1000,5,1000,0.02,15,3,124.6915,,443.9801,,40.4553,,3815.3016,,51.3014,,568.6716
104,1000,5,1000,0.02,15,4,35.7582,,103.5082,,37.1262,,4884.9134,,11.4028,,139.2664
105,1000,5,1000,0.05,5,0,89.8926,,356.5326,,54.0698,,9484.0327,,64.2711,,446.4252
106,1000,5,1000,0.05,5,1,2653.3624,,216.2045,,66.4705,,3430.783,,45.4865,,2869.5669
107,1000,5,1000,0.05,5,2,2163.5221,,215.6037,,76.6298,,5059.5373,,391.4982,,2379.1258000000003
108,1000,5,1000,0.05,5,3,122.0968,,495.5753,,80.9866,,9588.0162,,21.7068,,617.6721
109,1000,5,1000,0.05,5,4,1814.3151,,97.0761,,33.5866,,6434.0934,,29.1893,,1911.3912
110,1000,5,1000,0.05,10,0,151.0463,,413.4957,,72.3963,,9721.7124,,21.2239,,564.542
111,1000,5,1000,0.05,10,1,137.0707,,223.5078,,56.5226,,5247.8287,,65.3674,,360.57849999999996
112,1000,5,1000,0.05,10,2,4662.3612,,253.0558,,86.8504,,7176.9991,,41.4883,,4915.417
113,1000,5,1000,0.05,10,3,120.1354,,481.8693,,58.8529,,2521.5533,,18.0221,,602.0047
114,1000,5,1000,0.05,10,4,51.904,,117.0893,,92.8231,,6201.2022,,72.9816,,168.9933
115,1000,5,1000,0.05,15,0,23.4912,,354.0387,,59.4848,,3142.6552,,86.7802,,377.5299
116,1000,5,1000,0.05,15,1,42.6764,,261.7541,,59.8809,,10117.5661,,19.4528,,304.4305
117,1000,5,1000,0.05,15,2,372.4072,,329.0099,,59.2015,,12998.1793,,2078.2806,,701.4171
118,1000,5,1000,0.05,15,3,1235.7177,,491.468,,44.3635,,3207.4117,,59.4206,,1727.1857
119,1000,5,1000,0.05,15,4,2423.3275,,141.5417,,74.0303,,5173.9664,,62.4962,,2564.8692
120,1000,5,1000,0.1,5,0,102.9107,,288.8455,,70.8993,,10814.1586,,116.659,,391.75620000000004
121,1000,5,1000,0.1,5,1,380.9401,,235.1292,,71.2111,,4319.1897,,24.7453,,616.0693
122,1000,5,1000,0.1,5,2,188.2184,,228.5574,,87.7306,,5444.123,,55.9506,,416.7758
123,1000,5,1000,0.1,5,3,124.924,,459.1927,,52.1468,,10208.5331,,19.691,,584.1167
124,1000,5,1000,0.1,5,4,40.2317,,114.6147,,45.9182,,6817.7689,,662.4462,,154.8464
125,1000,5,1000,0.1,10,0,2451.2662,,404.4154,,83.0272,,10621.4893,,33.7181,,2855.6816
126,1000,5,1000,0.1,10,1,53.7704,,217.0114,,57.8816,,5817.859,,92.4806,,270.78180000000003
