cluster,subcluster,cell
7,0,s0
1,0,s1
5,0,s10
2,0,s100
2,0,s101
10,0,s102
5,0,s103
10,0,s104
0,0,s105
0,0,s106
13,0,s107
1,0,s108
0,0,s109
2,0,s11
8,0,s110
2,0,s111
10,0,s112
2,0,s113
2,0,s114
2,0,s115
10,0,s116
12,0,s117
10,0,s118
2,0,s119
2,0,s12
8,0,s120
10,0,s121
7,0,s122
8,0,s123
12,0,s124
7,0,s125
8,0,s126
12,0,s127
2,0,s128
2,0,s129
7,0,s13
13,0,s130
8,0,s131
2,0,s132
0,0,s133
10,0,s134
0,0,s135
7,0,s136
0,0,s137
12,0,s138
1,0,s139
0,0,s14
2,0,s140
8,0,s141
1,0,s142
5,0,s143
12,0,s144
1,0,s145
0,0,s146
12,0,s147
7,0,s148
2,0,s149
7,0,s15
0,0,s150
12,0,s151
10,0,s152
10,0,s153
0,0,s154
10,0,s155
2,0,s156
7,0,s157
7,0,s158
13,0,s159
2,0,s16
0,0,s160
0,0,s161
0,0,s162
0,0,s163
1,0,s164
13,0,s165
2,0,s166
7,0,s167
1,0,s168
2,0,s169
12,0,s17
5,0,s170
12,0,s171
12,0,s172
12,0,s173
1,0,s174
0,0,s175
13,0,s176
7,0,s177
2,0,s178
8,0,s179
13,0,s18
2,0,s180
2,0,s181
13,0,s182
2,0,s183
0,0,s184
8,0,s185
0,0,s186
1,0,s187
10,0,s188
1,0,s189
2,0,s19
1,0,s190
0,0,s191
1,0,s192
5,0,s193
8,0,s194
1,0,s195
10,0,s196
8,0,s197
7,0,s198
1,0,s199
0,0,s2
8,0,s20
2,0,s200
8,0,s201
0,0,s202
13,0,s203
2,0,s204
12,0,s205
1,0,s206
7,0,s207
2,0,s208
7,0,s209
8,0,s21
2,0,s210
7,0,s211
5,0,s212
13,0,s213
2,0,s214
1,0,s215
13,0,s216
1,0,s217
2,0,s218
12,0,s219
12,0,s22
8,0,s220
2,0,s221
1,0,s222
13,0,s223
0,0,s224
12,0,s225
7,0,s226
8,0,s227
10,0,s228
2,0,s229
8,0,s23
12,0,s230
1,0,s231
2,0,s232
12,0,s233
5,0,s234
12,0,s235
1,0,s236
12,0,s237
8,0,s238
13,0,s239
10,0,s24
2,0,s240
2,0,s241
10,0,s242
13,0,s243
7,0,s244
8,0,s245
2,0,s246
2,0,s247
0,0,s248
12,0,s249
7,0,s25
8,0,s250
7,0,s251
10,0,s252
10,0,s253
1,0,s254
12,0,s256
0,0,s257
0,0,s258
8,0,s259
2,0,s26
12,0,s260
7,0,s261
13,0,s262
1,0,s263
7,0,s264
2,0,s265
7,0,s266
2,0,s267
2,0,s268
2,0,s269
1,0,s27
2,0,s270
1,0,s271
7,0,s272
10,0,s273
2,0,s275
8,0,s276
8,0,s277
13,0,s278
1,0,s279
10,0,s28
13,0,s280
2,0,s281
0,0,s282
0,0,s283
8,0,s284
0,0,s285
13,0,s286
13,0,s287
7,0,s288
12,0,s289
12,0,s29
13,0,s290
8,0,s291
13,0,s292
7,0,s293
2,0,s294
1,0,s295
2,0,s296
2,0,s297
7,0,s298
12,0,s299
8,0,s3
2,0,s30
0,0,s300
13,0,s301
5,0,s302
12,0,s303
8,0,s304
2,0,s305
13,0,s306
2,0,s307
0,0,s308
0,0,s309
1,0,s31
7,0,s310
2,0,s311
1,0,s312
5,0,s313
5,0,s314
2,0,s315
0,0,s316
1,0,s317
1,0,s318
8,0,s319
5,0,s32
10,0,s320
12,0,s321
5,0,s322
1,0,s323
0,0,s324
2,0,s325
2,0,s326
13,0,s327
8,0,s328
8,0,s329
8,0,s33
0,0,s330
7,0,s331
0,0,s332
13,0,s333
7,0,s334
7,0,s335
2,0,s336
0,0,s337
2,0,s338
2,0,s339
13,0,s34
10,0,s340
8,0,s341
0,0,s342
1,0,s343
0,0,s344
2,0,s345
2,0,s346
5,0,s347
8,0,s348
12,0,s349
13,0,s35
1,0,s350
5,0,s351
1,0,s352
0,0,s353
8,0,s354
0,0,s355
8,0,s356
2,0,s357
7,0,s358
1,0,s359
12,0,s36
2,0,s360
10,0,s361
1,0,s362
13,0,s363
2,0,s364
2,0,s365
2,0,s366
7,0,s367
10,0,s368
0,0,s369
12,0,s37
0,0,s370
13,0,s371
10,0,s372
12,0,s373
12,0,s374
13,0,s375
12,0,s376
8,0,s377
2,0,s378
13,0,s379
7,0,s38
7,0,s380
8,0,s381
13,0,s382
0,0,s383
2,0,s384
12,0,s385
1,0,s386
12,0,s387
5,0,s388
2,0,s389
0,0,s39
8,0,s390
2,0,s391
2,0,s392
1,0,s393
1,0,s394
1,0,s395
10,0,s396
8,0,s397
0,0,s398
7,0,s399
2,0,s4
0,0,s40
13,0,s400
1,0,s401
8,0,s402
1,0,s403
8,0,s404
12,0,s405
2,0,s406
2,0,s407
8,0,s408
7,0,s409
12,0,s41
1,0,s410
7,0,s411
8,0,s412
7,0,s413
2,0,s414
2,0,s415
5,0,s416
1,0,s417
2,0,s418
8,0,s419
2,0,s42
5,0,s420
2,0,s421
7,0,s422
2,0,s423
7,0,s424
13,0,s425
10,0,s426
2,0,s427
2,0,s428
7,0,s429
2,0,s43
0,0,s430
2,0,s431
13,0,s432
1,0,s433
8,0,s434
5,0,s435
1,0,s436
0,0,s437
12,0,s438
10,0,s439
2,0,s44
2,0,s440
1,0,s441
7,0,s442
0,0,s443
0,0,s444
8,0,s445
8,0,s446
2,0,s447
1,0,s448
2,0,s449
12,0,s45
10,0,s450
8,0,s451
5,0,s452
7,0,s453
0,0,s454
2,0,s455
2,0,s456
8,0,s457
8,0,s458
0,0,s459
8,0,s46
13,0,s460
5,0,s461
2,0,s462
12,0,s463
1,0,s464
13,0,s465
12,0,s466
5,0,s467
8,0,s468
1,0,s469
2,0,s47
1,0,s470
8,0,s471
8,0,s472
1,0,s473
13,0,s474
13,0,s475
2,0,s476
1,0,s477
12,0,s478
2,0,s479
8,0,s48
0,0,s480
10,0,s481
0,0,s482
1,0,s483
13,0,s484
7,0,s485
2,0,s486
2,0,s487
8,0,s488
1,0,s489
0,0,s49
13,0,s490
8,0,s491
2,0,s492
8,0,s493
2,0,s494
2,0,s495
13,0,s496
2,0,s497
12,0,s498
7,0,s499
0,0,s5
0,0,s50
8,0,s500
12,0,s501
1,0,s502
0,0,s503
10,0,s504
0,0,s505
2,0,s506
8,0,s507
1,0,s508
