Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
FAM27E5		17p11.2	HOMDEL	3	571	0.5%	No
LINC01688		1q25.3	AMP	16	571	2.8%	No
RNA5SP241		7q31.31	AMP	17	571	3.0%	No
ELF5		11p13	AMP	8	571	1.4%	No
SNORD115-33		15q11.2	AMP	2	571	0.4%	No
RN7SKP132		10p12.1	AMP	16	571	2.8%	No
EPHX3		19p13.12	AMP	72	571	12.6%	No
CBX3P7		11q14.3	AMP	16	571	2.8%	No
OPCML		11q25	AMP	11	571	1.9%	No
FTH1P7		13q12.12	AMP	4	571	0.7%	No
NOTCH1		9q34.3	AMP	6	571	1.1%	Yes
FAM83D		20q11.23	AMP	36	571	6.3%	No
OSBPL2		20q13.33	AMP	62	571	10.9%	No
ATP11A-AS1		13q34	AMP	8	571	1.4%	No
TTC23L-AS1		5p13.2	AMP	36	571	6.3%	No
PSMC2P1		3q22.1	AMP	23	571	4.0%	No
KLK2		19q13.33	AMP	6	571	1.1%	Yes
UAP1-DT		1q23.3	AMP	18	571	3.2%	No
ARL2BPP4		5q23.3	AMP	1	571	0.2%	No
RNU2-27P		18p11.22	AMP	9	571	1.6%	No
GRN		17q21.31	AMP	1	571	0.2%	No
HNRNPUL2		11q12.3	AMP	2	571	0.4%	No
HNRNPA1P57		2p22.1	AMP	9	571	1.6%	No
LINC02125		16q23.1	AMP	1	571	0.2%	No
ARL2BPP7		9q31.1	HOMDEL	1	571	0.2%	No
OR2AM1P		9p13.3	AMP	8	571	1.4%	No
IGKV2-4		2p11.2	AMP	120	571	21.0%	No
SNORD115-34		15q11.2	AMP	2	571	0.4%	No
RN7SKP133		5p15.1	AMP	40	571	7.0%	No
CBX3P8		11p11.12	AMP	4	571	0.7%	No
MARK3P1		12q13.11	HOMDEL	1	571	0.2%	No
LINC01689		21q21.2	AMP	10	571	1.8%	No
EPHX2		8p21.2-p21.1	AMP	4	571	0.7%	No
PLEC		8q24.3	AMP	109	571	19.1%	No
FAM83C		20q11.22	AMP	39	571	6.8%	No
C8ORF34-AS1		8q13.2	AMP	37	571	6.5%	No
RNA5SP240		7q31.31	AMP	17	571	3.0%	No
CITED2		6q24.1	AMP	3	571	0.5%	No
ARL2BPP5		5q34	AMP	4	571	0.7%	No
LINC00681		8p23.1	HOMDEL	1	571	0.2%	No
CDC16		13q34	AMP	7	571	1.2%	No
KLK3		19q13.33	AMP	5	571	0.9%	No
LINC02126		16q21	AMP	3	571	0.5%	No
HNRNPA1P56		4q21.1	AMP	3	571	0.5%	No
PSMC2P2		8q21.2	AMP	31	571	5.4%	No
LRRK2-DT		12q12	AMP	14	571	2.5%	No
EPHX1		1q42.12	AMP	23	571	4.0%	No
LINC02124		16p13.3	AMP	8	571	1.4%	No
CEP120		5q23.2	AMP	1	571	0.2%	No
RN7SL422P		9p13.1	AMP	11	571	1.9%	No
HNRNPUL1		19q13.2	AMP	15	571	2.6%	No
ZNF579		19q13.42	AMP	9	571	1.6%	No
FAM83F		22q13.1	AMP	4	571	0.7%	No
C19ORF81		19q13.33	AMP	5	571	0.9%	No
HNRNPA1P59		1q32.1	AMP	20	571	3.5%	No
